,name,params,nzparams,sparsity,skip_count
0,conv1,4096,2688,34.0,False
1,bn1,32,21,34.0,True
2,layer1.0.conv1,3072,2016,34.0,False
3,layer1.0.bn1,32,21,34.0,True
4,layer1.0.conv2,3072,2016,34.0,False
5,layer1.0.bn2,32,21,34.0,True
6,layer1.0.shortcut.0,1024,672,34.0,False
7,layer1.0.shortcut.1,32,21,34.0,False
8,layer1.1.conv1,3072,2016,34.0,False
9,layer1.1.bn1,32,21,34.0,True
10,layer1.1.conv2,3072,2016,34.0,False
11,layer1.1.bn2,32,21,34.0,True
12,layer1.2.conv1,3072,2016,34.0,False
13,layer1.2.bn1,32,21,34.0,True
14,layer1.2.conv2,3072,2016,34.0,False
15,layer1.2.bn2,32,21,34.0,True
16,layer2.0.conv1,6144,3936,36.0,False
17,layer2.0.bn1,64,41,36.0,True
18,layer2.0.conv2,12288,7872,36.0,False
19,layer2.0.bn2,64,41,36.0,True
20,layer2.0.shortcut.0,2048,1312,36.0,False
21,layer2.0.shortcut.1,64,41,36.0,False
22,layer2.1.conv1,12288,7872,36.0,False
23,layer2.1.bn1,64,41,36.0,True
24,layer2.1.conv2,12288,7872,36.0,False
25,layer2.1.bn2,64,41,36.0,True
26,layer2.2.conv1,12288,7872,36.0,False
27,layer2.2.bn1,64,41,36.0,True
28,layer2.2.conv2,12288,7872,36.0,False
29,layer2.2.bn2,64,41,36.0,True
30,layer3.0.conv1,24576,15744,36.0,False
31,layer3.0.bn1,128,82,36.0,True
32,layer3.0.conv2,49152,31488,36.0,False
33,layer3.0.bn2,128,82,36.0,True
34,layer3.0.shortcut.0,8192,5248,36.0,False
35,layer3.0.shortcut.1,128,82,36.0,False
36,layer3.1.conv1,49152,31488,36.0,False
37,layer3.1.bn1,128,82,36.0,True
38,layer3.1.conv2,49152,31488,36.0,False
39,layer3.1.bn2,128,82,36.0,True
40,layer3.2.conv1,49152,31488,36.0,False
41,layer3.2.bn1,128,82,36.0,True
42,layer3.2.conv2,49152,31488,36.0,False
43,layer3.2.bn2,128,82,36.0,True
44,linear,384,256,33.0,False
